media_en,title_articles,link_articles,date_original
fct,各地で雨も　お盆に墓参り【福島県】,https://news.yahoo.co.jp/articles/7e5659d6c3eeec6520e83e6017c3b30cd492f05b,8/14(月) 12:12
fct,「どうしても福島が好きだ」ＡＫＢ４８が福島の特産品をＰＲ,https://news.yahoo.co.jp/articles/9d40e15e98b5cb0e5aba80fe6cee9b7afeddddf2,8/14(月) 12:09
fct,白熱！いわきＦＣと福島ユナイテッド　試合結果は…,https://news.yahoo.co.jp/articles/389a6845176f9dd4af8fc0f16a65f47d2fb89dc7,8/14(月) 12:07
fct,下郷町　二十歳の成人を祝う夏の成人式,https://news.yahoo.co.jp/articles/26a28fc69fa52e29f718463ba32f1048ea4358bf,8/13(日) 16:59
fct,相馬市で住宅火災　焼け跡から１人の遺体見つかる,https://news.yahoo.co.jp/articles/e25864a40d9227b9fc158e661504a1529ab904c5,8/13(日) 16:57
fct,猪苗代町の林で作業中の男性がクマに襲われ…顔などにけが,https://news.yahoo.co.jp/articles/fb8f03dc347c81eb0d39a08a03d03b9d88456ca6,8/12(土) 20:42
fct,猪苗代湖で水上バイクの運転者が自損事故　顔にけが,https://news.yahoo.co.jp/articles/3c1c5d89e94a048bc3fea11f842f438b8b680daa,8/12(土) 18:37
fct,子どもたちが「ふくしまの今」を取材するジャーナリストスクール【福島県】,https://news.yahoo.co.jp/articles/25a62121e866575695848ffe00c52b59c4904b71,8/12(土) 18:22
fct,「青春を取り戻そう！」Z世代の若者たちが体育祭を開催【福島県】,https://news.yahoo.co.jp/articles/b4d516cf9305a17fb94b471c8493303231c62150,8/12(土) 18:20
fct,川俣町でフォルクローレの祭典「コスキン・エン・ハポン」５年ぶり通常開催,https://news.yahoo.co.jp/articles/ebcb8d00735c8d37e7d5ed25d932beda3c6dfe28,8/12(土) 18:18
fct,これまでも何度か被害が…会津若松市で熊にコメが食い荒らされる【福島県】,https://news.yahoo.co.jp/articles/c4f16d040102a3e0ee4acf70cece5c7f4abe3488,8/12(土) 12:12
fct,サッカー女子Ｗ杯　白河市でなでしこジャパンを応援【福島県】,https://news.yahoo.co.jp/articles/6628a673b2eda64f3104593b4b594b4c93a2008d,8/12(土) 12:08
fct,「今まで見た花火の中で一番きれい」柳津町で伝統の花火大会７千発に歓声【福島県】,https://news.yahoo.co.jp/articles/b41bce630b3b6ca50fe8429ccd4fa12a98867a70,8/11(金) 19:13
fct,夏休み中、親子で満喫してね　TOKIO－BAを一般開放【福島県】,https://news.yahoo.co.jp/articles/649b5c3bd32d9018c081e044a3423143605358b4,8/11(金) 18:54
fct,お盆帰省ラッシュが復活　新幹線も高速道も…【福島県】,https://news.yahoo.co.jp/articles/c397d284b4f3ccdb0adc208b7021392bcc1721af,8/11(金) 18:52
fct,猪苗代湖で行方不明の女の子（５歳）無事発見【福島県】,https://news.yahoo.co.jp/articles/a745b76c8551340ea6b1b3183c7ddd8cd07009e8,8/11(金) 16:57
fct,８月１０日は「健康ハートの日」　鉄塔をハート色にライトアップ【福島県】,https://news.yahoo.co.jp/articles/fab41e82c4a0ed36c028a365ff44d199a446c433,8/11(金) 12:17
fct,お盆の帰省ラッシュ始まる　新幹線自由席乗車率１２０％の列車も【福島県】,https://news.yahoo.co.jp/articles/db94dbaa247a29365e6dc83613389f14039601e0,8/11(金) 12:15
fct,大玉村で熊が車に衝突する事故　車のバンパー破損もけが人なし【福島県】,https://news.yahoo.co.jp/articles/24344acd5b5d736222c9bfaf666175a6767cd803,8/11(金) 11:29
fct,【午前１１時現在】東北道本宮ＩＣ付近で２８キロの渋滞　帰省ラッシュ始まる【福島県】,https://news.yahoo.co.jp/articles/c271927bfec32ef4b1e89410563f49a6b7852669,8/11(金) 11:28
fct,暑い夏を乗り切るアイテムの一つに！会津坂下町のソウルフード「冷やしラーメン」をツルッと食べて！,https://news.yahoo.co.jp/articles/c12637c4b42fa46bd6a335e68f6ea34f62e520b0,8/11(金) 11:03
fct,天文学国際会議のテーマソングをＡＣＩＤＭＡＮが演奏【福島県】,https://news.yahoo.co.jp/articles/b938732e16537858ae196ad21bcc4e090aba4ad1,8/10(木) 19:10
fct,えっこれが野菜？まるでフルーツのような福島らしい名前の夏野菜を紹介,https://news.yahoo.co.jp/articles/b75b1822527bae452df964ce4fb8b26ca93784f9,8/10(木) 19:07
fct,福島市にロボット研究開発拠点「おおざそう研究所」　菊池製作所が開所,https://news.yahoo.co.jp/articles/14ec08acf745ac114307163b7449f2944c70ab40,8/10(木) 19:05
fct,自慢の桃をいたるところで味わって！福島市のピーチホリデイに注目,https://news.yahoo.co.jp/articles/acc82f918ae6d67aba70cef4f2c18ac82ed3a729,8/10(木) 18:57
fct,晩夏へ…会津では南郷トマトの収穫最盛期・浜通りではいわき梨の出荷始まる,https://news.yahoo.co.jp/articles/2e61dd85d7dadcdc938b8f1a4eb6f3f959abf15f,8/10(木) 18:54
fct,相馬野馬追５月末から６月上旬開催で調整【福島県】,https://news.yahoo.co.jp/articles/c6178c89102963dd109ce01e9e39f55a8f70c843,8/10(木) 18:34
fct,またも…伊達市の桃畑で約１０００個盗難に　別の畑で被害にあったばかり【福島県】,https://news.yahoo.co.jp/articles/ed065918ce7cb553fec614a0adc1f50e32905aef,8/10(木) 16:51
fct,飯豊山で滑落し救助を求めていた男性を救助し、県警ヘリで病院搬送,https://news.yahoo.co.jp/articles/1d05495d6ef41227866ad59b883bf68013b48ac5,8/10(木) 15:11
fct,この夏は最高の出来に　南郷トマトの収穫が最盛期【福島県】,https://news.yahoo.co.jp/articles/4404da76c0a14b4217e07ef2f53703a1e4e4a75c,8/10(木) 12:01
fct,コロナ禍で人員削減した企業　福島県は全体の１割弱,https://news.yahoo.co.jp/articles/d541d2853df901d29384f2da5bf55c32af02a3ae,8/10(木) 11:59
fct,あわや親子が…海の安全を守るライフセーバーをいわき市で密着取材【福島県】,https://news.yahoo.co.jp/articles/aed44b58b3a824e2d5bda38e5d4c5f95df9302bd,8/9(水) 20:18
fct,新型コロナ患者　福島県で一週間に１１６４人と７週連続増加へ,https://news.yahoo.co.jp/articles/8f9f92a60f545448423638f430279e85b03e9098,8/9(水) 19:34
fct,２８歳男性を処分保留で釈放　南相馬市強盗傷害事件,https://news.yahoo.co.jp/articles/1d6112c8d995fb0dce06a09ff5c221b11cac514f,8/9(水) 19:32
fct,タレント経歴を生かし福島の食の魅力を台湾に発信　飯舘村に移住した女性,https://news.yahoo.co.jp/articles/cc16a9d60634e51359e79cb57a5f9e82517fb0e1,8/9(水) 18:54
fct,残暑続く中…あの手この手の暑さ対策　注目のガラスコーティング効果は？【福島県】,https://news.yahoo.co.jp/articles/2b67a18ee9b9642c1f89b5027dc3e9978307a215,8/9(水) 18:50
fct,ガソリン価格高騰　福島県内ではレギュラー１７９．８円でキッチンカーも苦境,https://news.yahoo.co.jp/articles/2ca250af2f4cd3ba28c6beb37de8c0f2e33936a7,8/9(水) 18:39
fct,吾妻山で低周波地震の発生が増加　直近一か月で５３回観測【福島県】,https://news.yahoo.co.jp/articles/6a9731e08babadde9b77b5654662f33f19961adf,8/9(水) 17:58
