media_en,media_jp,title_articles,date_original
hitoc,ひとシネマ,家父長制のパキスタンでも性は恥ずべきものではない「ジョイランド わたしの願い」　サーイム・サーディク監督,11/2(土) 22:10
hitoc,ひとシネマ,インドの女性監督が目指した「川端康成の文学」　是枝裕和監督と対談,11/1(金) 18:10
hitoc,ひとシネマ,「ゴジラ博 in 大阪」　破壊されていく大阪の景色は、東京破壊とは異なる強烈な印象を与える,11/1(金) 7:10
hitoc,ひとシネマ,＜ネタバレあり＞坂口健太郎がつむぐ文学的なせりふが切なくしみるラブストーリー「愛のあとにくるもの」,10/31(木) 22:10
hitoc,ひとシネマ,中国で流行？〝寝そべり文化〟の若者たち　「国境ナイトクルージング」アンソニー・チェン監督,10/30(水) 22:10
hitoc,ひとシネマ,BTSを追ってプサンへ！　RM映画ワールドプレミア　5000席を埋めたARMYの熱狂,10/29(火) 22:10
hitoc,ひとシネマ,シリアルキラーとデート番組でご対面 実話を基にしたサスペンススリラー「アイズ・オン・ユー」,10/28(月) 22:10
hitoc,ひとシネマ,レッドカーペットに200人　華やかに開幕　東京国際映画祭,10/28(月) 21:21
hitoc,ひとシネマ,俳優今泉マヤが見た「アイミタガイ」　胸を熱くする託された思い,10/26(土) 22:10
hitoc,ひとシネマ,猫が問いかける〝住みよい世界〟とは？　観察映画「五香宮の猫」の想田和弘監督,10/25(金) 22:10
hitoc,ひとシネマ,チェ・ミンシク　「破墓」の悪霊「本気で怖がった」　「演技の神髄は、まねではなく信じること」,10/24(木) 22:20
hitoc,ひとシネマ,「夜明けのすべて」企画プロデューサーの監督作品「Good Dreams」は途方もなく大きな〝人間の映画〟,10/24(木) 22:10
hitoc,ひとシネマ,極限の状態で人々が見せる狂気や選択、本能を描くスリラー「プラットフォーム2」,10/21(月) 22:10
