media_en,media_jp,title_articles,link_articles,date_original
naranp,奈良新聞デジタル,市長や議員、職員らによるハラスメントの防止条例を再提出へ　奈良県生駒市、実態調査を経て条文見直し,https://news.yahoo.co.jp/articles/4ee2dcb58574009682ac74edb821841c8b80eb80,8/23(金) 6:11
naranp,奈良新聞デジタル,そろり秋の気配　奈良の春日大社万葉植物園でオミナエシ見頃　きょう8月22日は「処暑」,https://news.yahoo.co.jp/articles/4ddae1f8c41c26d1c1d591706051e74cdbfe94c5,8/22(木) 6:11
naranp,奈良新聞デジタル,災害の歴史と教訓、後世に　奈良県十津川村で水害慰霊祭,https://news.yahoo.co.jp/articles/45df2cd524faa50771dc5e97c73fb54a2acabe76,8/21(水) 6:11
naranp,奈良新聞デジタル,質問「博物館の仏様に誰も手を合わさないのに驚きました。誠に残念です」 - 我知(がち)ーお坊さんに聞いてみる（2024年8月21日）,https://news.yahoo.co.jp/articles/4317da6c987229622de57667ef83b0bf119d847b,8/21(水) 6:11
naranp,奈良新聞デジタル,こけら屋根、修理中　奈良市の春日大社末社の夫婦大国社　緑青で腐朽菌抑制,https://news.yahoo.co.jp/articles/83b82460766c07afb9c1a2323a651a11f0618cf1,8/20(火) 6:10
naranp,奈良新聞デジタル,ギフトカード購入の男性客の詐欺被害を疑い積極的に声がけ　被害防いだコンビニ店員2人に感謝状 - 奈良県警香芝署,https://news.yahoo.co.jp/articles/d9ac2d9feade26ee987a8e024b03b89ff2fabf92,8/18(日) 6:11
naranp,奈良新聞デジタル,お話の神様・稗田阿礼を顕彰　地元の子どもら「稗田の舞」を奉納 - 奈良県大和郡山市売太神社で「阿礼祭」,https://news.yahoo.co.jp/articles/daab6abe67e5804d7ce678b732dda543113fcbd5,8/17(土) 6:11
naranp,奈良新聞デジタル,「奈良大文字送り火」平和の祈り赤々と　5年ぶり通常開催　慰霊祭で神職と僧侶が祈りをささげ,https://news.yahoo.co.jp/articles/7e787fb3c2ea728fc91efb6c0e9a8fd9ef01242c,8/16(金) 6:10
naranp,奈良新聞デジタル,春日大社で「中元万燈籠」清めた火を神様へ各所の石燈籠3000基点火,https://news.yahoo.co.jp/articles/4510ee98e415ad39231c87e5f0ec086fb7db3490,8/15(木) 6:11
naranp,奈良新聞デジタル,【速報】智弁学園、3回戦へ　春の覇者・健大高崎を逆転で下す - 全国高校野球選手権大会,https://news.yahoo.co.jp/articles/6c9991ce856062826771b9c43d574550a4e63401,8/14(水) 12:10
naranp,奈良新聞デジタル,観音寺のそうめんにはシソとエゴマと大きな梅干し - 音羽山観音寺後藤住職の花だより,https://news.yahoo.co.jp/articles/3dc96b5b62dfdadef8568bb6f61aad681a683e11,8/14(水) 6:10
naranp,奈良新聞デジタル,奈良・天理駅前広場コフフンに「モンベル」オープン　アウトドア最新商品並ぶ限定Tシャツも　市と天理大学が産官学共同で開店,https://news.yahoo.co.jp/articles/d89fb37abc22da16d5c48192e23840c6848f8ec7,8/13(火) 6:10
naranp,奈良新聞デジタル,「セミ博士」親子ら33人が抜け殻559個採集、分類　奈良県の国営飛鳥歴史公園で大人気イベント「飛鳥いきもの調査隊」,https://news.yahoo.co.jp/articles/73dfb89372e4eda5d2718b0442814316e5874ae8,8/12(月) 6:11
naranp,奈良新聞デジタル,ファン集い電車に夢中　8月11日まで奈良市で「鉄道まつり」　私鉄グッズ販売やエヌゲージ体験,https://news.yahoo.co.jp/articles/d058b08d006967f6bed19dfdab49084c3d84d397,8/11(日) 6:11
naranp,奈良新聞デジタル,コンニャク製造のオーカワ(奈良県下市町)が自己破産申請の準備　原料調達の大川商店も　負債総額は43億円,https://news.yahoo.co.jp/articles/6be292e8840d9456e52491e5e7dce7a8c3631255,8/10(土) 6:11
naranp,奈良新聞デジタル,戦時下の金属供出を伝える遺物　奈良県大淀町の町文化会館で企画展　木製米びつ初公開、体験紹介や映画上映　8月19日まで,https://news.yahoo.co.jp/articles/3fab0110ec06be0d473d4fa29bc76414bb62e2b2,8/9(金) 6:11
naranp,奈良新聞デジタル,ツバメのねぐら入りがピーク - 奈良市・平城宮跡,https://news.yahoo.co.jp/articles/991ddd2311a7530c682eafddb2fe34d62fb8467b,8/8(木) 12:30
naranp,奈良新聞デジタル,国スポ奈良県準備委、基本構想策定時期を延長　在り方議論の行方待つ,https://news.yahoo.co.jp/articles/ca29356a33e5c5e44e548a7b88095b91a01b850c,8/8(木) 6:11
naranp,奈良新聞デジタル,質問「10代の男性です。数珠（じゅず）の正しい選び方を教えてください」 - 我知(がち)ーお坊さんに聞いてみる（2024年８月7日）,https://news.yahoo.co.jp/articles/836f8dac91fd315bc880d10750273524be41ced6,8/7(水) 13:50
naranp,奈良新聞デジタル,きょう8月7日は立秋　奈良県橿原市昆虫館、聞こえる〝秋の風情〟,https://news.yahoo.co.jp/articles/8b2057c814e2add3cc75276a5675b96152264c79,8/7(水) 6:10
naranp,奈良新聞デジタル,今年のポンテデリアは花が多め　キキョウは「ひっくり返るぐらいたくさん咲くのよ」 - 音羽山観音寺後藤住職の花だより,https://news.yahoo.co.jp/articles/84dac33aeff44ebf232362cebfd1772edc7bdbb0,8/7(水) 6:10
naranp,奈良新聞デジタル,夏を彩る燈花会開幕　オープニングセレモニーや火入れ式　奈良公園一帯で8月14日まで実施,https://news.yahoo.co.jp/articles/196d8e2762e10179af630f082e0e33456a9365af,8/6(火) 8:51
naranp,奈良新聞デジタル,奈良出身のパリ五輪陸上男子100メートル出場の東田選手へ会場一体で声援　地元・奈良市でパブリックビューイング,https://news.yahoo.co.jp/articles/fb6f45b10b67e8d180ea3dbf0b0631c7036e874e,8/5(月) 6:11
naranp,奈良新聞デジタル,豊かな自然 普段と違う目線で理解深め　奈良県川上村の大滝ダムで湖面巡視体験,https://news.yahoo.co.jp/articles/5fbaf631e5f7a6109708498fbf0c034ba48ad585,8/4(日) 6:11
naranp,奈良新聞デジタル,2年連続の夢舞台で躍動　智弁学園ナインが甲子園練習　グラウンドの感触確認,https://news.yahoo.co.jp/articles/065fa6be505026ff992d876b703e8678d7f4123d,8/3(土) 6:11
naranp,奈良新聞デジタル,奈良県十津川村39.9度　県内過去最高の猛暑,https://news.yahoo.co.jp/articles/0b1b2d9d4b2732a8bae35529835e868976ced9cc,8/3(土) 6:11
naranp,奈良新聞デジタル,あなたの「推し」は？　飛鳥時代に活躍した25人の偉人から投票 - 飛鳥人総選挙,https://news.yahoo.co.jp/articles/8a0d87c767e4d7ce8455a4fa1fdd66a1837c309c,8/2(金) 6:11
naranp,奈良新聞デジタル,奈良県警が屋外活動する警察職員のサングラス着用を促進　目の負担軽減・交通事故防止へ　威圧感への対応も指示,https://news.yahoo.co.jp/articles/99836471326fff31264ca31977e17c48c2a58267,8/1(木) 6:11
naranp,奈良新聞デジタル,パリ五輪総合馬術団体で銅の日本代表・北島隆三選手　高校の恩師「努力のたまもの」　奈良県立山辺高校出身,https://news.yahoo.co.jp/articles/d758a9a4566ac97ba9c9704aad4d6ea470e3741c,7/31(水) 6:14
naranp,奈良新聞デジタル,「内股でメダル取って」　奈良県橿原市出身の新添選手に「橿原市柔道クラブ」の児童がエール - パリ五輪,https://news.yahoo.co.jp/articles/73e1fae4455d533a6f841f28f5a783f4cd36cb8d,7/30(火) 6:10
naranp,奈良新聞デジタル,国重要文化財の中家住宅に延焼 - 奈良県安堵町,https://news.yahoo.co.jp/articles/924b6b667747fd46b2ae32ed9f7b86e7b5151dc5,7/29(月) 18:41
naranp,奈良新聞デジタル,「それ、詐欺で『すし』！」　奈良市内の回転ずし店、多発する投資詐欺にポップ広告で注意喚起,https://news.yahoo.co.jp/articles/8357303cd7cdc1bc9961a0e5f89a86a1f1f701fa,7/29(月) 9:00
naranp,奈良新聞デジタル,【速報】インターハイ開会式,https://news.yahoo.co.jp/articles/aa74f31980dcd95fc2cea581d32a13667da622b4,7/27(土) 19:41
naranp,奈良新聞デジタル,橿原考古学研究所付属博物館で奈良県内31遺跡調査の成果披露　大甕など397点紹介,https://news.yahoo.co.jp/articles/9916643cd0d0a5acd479e0a68ee16c8989b2de76,7/27(土) 6:11
naranp,奈良新聞デジタル,「ストリートファイターII」オリジナルアニメがマンホールカードに　奈良県橿原市が7月26日から配布,https://news.yahoo.co.jp/articles/1cddb7c42143a41e7a5ac6678aba43f577f309c8,7/26(金) 6:11
naranp,奈良新聞デジタル,奈良大文字送り火、5年ぶり通常開催へ　慰霊祭が一般参列可に,https://news.yahoo.co.jp/articles/22a3acb1244ebe78ef120c8df5fc6118f2a0434f,7/25(木) 9:10
